Autor/a,Obra,Fecha de estreno,Dirección,Compañía,Festivales,Lugar de estreno
Lope de Vega,La Viuda Valenciana,30 de marzo de 2023,Adrián Novella,La Valenciana,,Teatro Rialto de Valencia
????????,Don Gil de Olmedo es sueño,,,????????????,,
Lope de VegaMÚSICA,Canciones de Olmedo,15 de noviembre de 2020,José Carlos Cuevas,Jóvenes Clásicos,Festival LA ESCENA 2020,"Online. Grabado en el Teatro del Soho, Málaga"
Lope de VegaTÍTERES,La selva sin amor,18 de julio de 2020,Jesús Caballero,La Máquina Real,"Festival de Teatro Clásico de Almagro
",Palacio de los Oviedo de Almagro
Lope de VegaMUSICAL,Castelvines y Monteses,16 de octubre de 2020,Sergio Peris-Mencheta,Barco Pirata; Compañía Nacional de Teatro Clásico. CNTC,,Logroño
Lope de Vega?????,Todas las guerras,,,"Joven Compañía Nacional de Teatro Clásico, JCNTC",,
Lope de Vega**,La dama boba,8 de julio de 2019,Antonio Alcalde,Clásicos on the Road,"Festival de Teatro Clásico de Almagro
",Ermita de la Magdalena de Almagro (Ciudad Real)
Pedro Calderón de la Barca,Mañanas de abril y mayo,13 de abril,Laila Ripoll,,Festival de teatro clásico Castilla de Peñíscola,Teatro Fernán-Gómez de Madrid
Temática SO/Calderón,"Calderón, ¿enamorado?",17 de marzo,Amaya Curieses y José Maya,Zampanó Teatro,Jornadas de siglo de oro de Almería,
Tirso de Molina ,El burlador de Sevilla y el convidado de piedra ,19 de febrero de 2000,Isaac Benabeu ,Associació d´Investigació i Experimentació Teatral ,,Sala La Cuina de Barcelona 
Rojas Zorrilla,Abre el ojo ,,Francisco Plaza,Amar teatro; Producciones Inconstantes,,
Moreto,,,,,,
Sor Juana ,,,,,,
Miguel de Cervantes,D. Q. Don Quijote en Barcelona,30 de septiembre de 2000,Àlex Ollé y Carlos Padrissa,La Fura dels Baus,,Gran Teatre del Liceu de Barcelona
Juan de la Cueva,El príncipe tirano,13 de julio de 2006,Pepa Gamboa,"Centro Andaluz de Teatro, CAT y Teatro Lope de Vega ",Festival Internacional de Teatro Clásico de Almagro ,"Teatro Municipal de Almagro, Ciudad Real (Castilla La Mancha)"
María de Zayas y Sotomayor,La traición en la amistad,10 de julio de 2003,Mariano de Paco Serrano ,Mariano de Paco Serrano,,"Claustro Mudéjar de Chinchilla, Albacete (Castilla La Mancha)"
Temática SO / Juan Latino,,,,,,
Juan Ruiz de Alarcón,,,,,,
Lope de Rueda ,"Garnacho Bululo y Ñaque en la chanza del santero desollado, La carátula ",1 de diciembre de 2001,Colectivo,El Capo Cómico,,"Calle Mayor de Alcalá de Henares, Madrid (Comunidad de Madrid)"
Temática SO / Juan Rana,,,,,,
Temático SO / Varia,,,,,,
Fernando de Rojas,,,,,,
Temática SO / Folklore,,,,,,
Temática SO / Música,,,,,,
Temática SO / Danza,,,,,,
